product.id;product.external_id;product.tiny_name;product.base_id;klass.name;klass.name_ru;klass.name_en;klass.name_es;klass.name_tr;product.size_name;package_type.code;klass.is_other;product.is_active;brand_owner.name;product_category.name;brand.name;subbrand.name;subbrand.name_ru;subbrand.name_en;subbrand.name_es;subbrand.name_tr;product.width;product.height;product.barcode;product.miniature_product;product.packing_size;product.external_base_id;product.name_client;klass.miniature;legacy.confirmedBoxes;legacy.unConfirmedBoxes;dset.confirmedBoxes;dset.unConfirmedBoxes;product.is_used_in_price_algorithm;product.created_at;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
003ADBB3-90FB-4A48-AB31-A14A32C61A0D;2,32225E+14;TunNnB0.5;;Тундра Водка Nordic Nature;;Водка Тундра Нордик Нейче;;;0.5;gb;1;1;Татспиртпром ГК;Водка_bel;Тундра;Nordic Nature;;;;;8.00;22.00;4,60466E+12;7fafc80a6775bb9f71cfbadb6beb54a6.jpg;1;;;113df45d368d356f6550ff31eb94d969.jpg;699;116;437;53;1;28.06.2018 10:44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0076512B-9A84-41FF-AFE4-35007FDEC70D;;DewSrC0.7;;Dewar`s Special Reserve 0.7;;;;;0.7;cardboard_box;1;0;Bacardi RUS;Виски_bel;Dewar`s;Special Reserve 0.7;;;;;08.июн;29.80;5,00028E+12;;1;;;bc4VOOzPFd0.jpg;644;108;26;7;1;02.03.2018 14:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
007D62D0-35D1-409E-9C16-B9FDC69DFCE8;;DewWlB0.7;;Dewar`s White Label;;;;;0.7;gb;1;0;Bacardi RUS;Виски_bel;Dewar`s;White Label;;;;;7.00;29.00;5,00028E+12;;1;;;bb2092ec397827144a6ff3607fc0185e.jpg;318;58;214;21;1;02.03.2018 14:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00F868F9-6E8E-4E64-93A9-E191442F030E;;TseLaB0.7;;Цельсий Лайт;;;;;0.7;gb;1;0;Баядера;Водка_bel;Цельсий;Лайт;;;;;июл.50;31.00;;;1;;;це.png;59;1;0;1;1;28.06.2018 10:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
014A15F7-292F-4051-98BD-75B441CAC8F2;;MraOvV1.0;;Martini Other Vermouth;;;;;1.0;vap;1;0;Bacardi RUS;Джины и др._bel;Martini;Other Vermouth;;;;;18.50;33.50;;;1;;;;1349;21;4;2;1;02.03.2018 14:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0195895C-8A4E-4775-9262-F710AE47FF15;;OakOrB0.7;;Oakheart Original;;;;;0.7;gb;1;0;Bacardi RUS;Ром_bel;Oakheart;Original;;;;;июл.50;27.00;5,01068E+12;30b6c1f967aabf41e82da04f6dae8dd7.jpg;1;;;ab9a202ad3ef3d94be719735be7a2e8c.png;620;28;412;23;1;02.03.2018 14:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02884A7D-2B9D-4D47-B5BE-232CA74FDBBD;;DewWlC0.7;;Dewar`s White Label;;;;;0.7;cardboard_box;1;0;Bacardi RUS;Виски_bel;Dewar`s;White Label;;;;;июл.50;30.00;5,00028E+12;;1;;;96dc6c150916651d271223261bf20724.jpg;367;40;10;2;1;02.03.2018 14:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02956335-CF59-499D-9AFD-0F29DDF5AC3F;;OtrOpL0.05;;Other product;;;;;0.05;lp;1;0;Other;Другое_bel;Other product;__;;;;;6.00;8.00;;;1;;;;1449;153;334;120;1;07.05.2018 13:26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02989CF6-CB2E-4782-8EEE-17458056762E;;CMoBjC1.0;;Captain Morgan Original Spiced Gold + Glass;;;;;1.0;cardboard_box;1;0;Mey & Diageo;Ром_bel;Captain Morgan;Black Jamaica 0,5л;;;;;24.00;32.70;5,00028E+11;;2;;;Captain Morgan Original Spiced Gold 1L + Glass.jpg;379;5;7;1;1;02.03.2018 14:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02FDB9C9-1973-40C8-B0A0-36ADCEE2BE17;;VysApB0.5;;Высота Айс Пик;;;;;0.5;gb;1;0;Капитал Сити;Водка_bel;Высота;Айс Пик;;;;;6.00;28.00;;;1;;;высота.png;5;0;2;0;1;28.06.2018 11:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
030b12bf-fa55-4e87-9b59-56bb800ff887;;HasHAp1PC;;ДМП_Небрендированное ДМП_Хаски;;;;;1PC;posm;1;0;АСГ;;Хаски;ДМП_Небрендированное ДМП_Хаски;;;;;5.00;10.00;;;1;;;;0;0;0;0;1;06.05.2026 9:41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
