user;dt;sale
1;27.02.2024;2763
1;28.02.2024;5872
1;01.03.2024;540
1;02.03.2024;3535
1;04.03.2024;1256
1;05.03.2024;1764
1;06.03.2024;2594
1;07.03.2024;2868
1;08.03.2024;695
1;09.03.2024;790
1;10.03.2024;3955
1;11.03.2024;1593
1;13.03.2024;1219
1;19.03.2024;5351
1;23.03.2024;3534
1;24.03.2024;2355
1;01.04.2024;3110
1;03.04.2024;2897
1;05.04.2024;739
1;06.04.2024;4163
1;08.04.2024;3976
1;09.04.2024;1928
1;14.04.2024;2649
1;19.04.2024;5757
1;23.04.2024;4155
1;05.05.2024;1518
1;07.05.2024;4029
1;10.05.2024;3500
1;13.05.2024;4992
1;17.05.2024;5281
1;20.05.2024;5685
1;21.05.2024;5222
1;01.06.2024;2944
1;10.06.2024;1452
1;26.06.2024;1618
1;03.07.2024;2083
1;23.07.2024;1289
1;31.07.2024;3028
1;01.08.2024;1268
1;10.08.2024;1110
1;13.08.2024;1994
1;06.12.2024;914
2;23.07.2023;5898
2;24.07.2023;4803
2;25.07.2023;3191
2;26.07.2023;4909
2;28.07.2023;4525
2;29.07.2023;4996
2;04.08.2023;2711
2;05.08.2023;4213
2;11.08.2023;621
2;12.08.2023;3526
2;17.08.2023;4154
2;18.08.2023;2443
2;20.08.2023;2430
2;24.08.2023;2192
2;01.09.2023;1815
2;11.09.2023;5055
2;12.09.2023;1980
2;19.09.2023;4423
2;27.09.2023;590
2;26.10.2023;5205
2;27.10.2023;1715
2;18.11.2023;2564
2;15.12.2023;2865
2;12.01.2024;3195
2;18.01.2024;4416
2;26.03.2024;3166
2;27.04.2024;4154
3;29.12.2023;5570
3;01.01.2024;1191
3;03.01.2024;4717
3;09.01.2024;698
3;12.01.2024;1338
3;13.01.2024;4337
3;16.01.2024;3321
3;18.01.2024;4592
3;19.01.2024;3320
3;22.01.2024;1864
3;31.01.2024;5247
3;05.02.2024;4407
3;15.02.2024;2038
3;21.02.2024;3008
3;24.02.2024;4675
3;24.03.2024;3064
3;26.04.2024;3446
3;02.05.2024;3794
3;18.05.2024;4212
3;06.07.2024;2011
4;02.11.2023;5571
4;03.11.2023;2195
4;04.11.2023;3614
4;05.11.2023;3539
4;06.11.2023;4513
4;10.11.2023;2865
4;11.11.2023;1699
4;13.11.2023;3794
4;14.11.2023;4550
4;15.11.2023;3630
4;18.11.2023;4129
4;23.11.2023;5769
4;24.11.2023;1550
4;27.11.2023;5716
4;04.12.2023;5765
4;06.12.2023;5892
4;16.12.2023;756
4;18.12.2023;5845
4;23.12.2023;2935
4;25.12.2023;3651
4;27.12.2023;4144
4;31.12.2023;501
4;01.01.2024;3356
4;02.01.2024;1524
4;03.01.2024;4454
4;12.01.2024;3000
4;31.01.2024;2439
4;02.02.2024;4740
4;07.02.2024;3531
4;17.02.2024;3537
4;18.02.2024;981
4;08.03.2024;1434
4;13.03.2024;5829
4;20.03.2024;571
4;09.05.2024;1661
4;19.05.2024;3986
4;22.05.2024;1936
4;26.06.2024;5101
4;04.07.2024;5352
4;06.07.2024;3745
4;19.08.2024;1577
5;01.10.2023;3245
5;02.10.2023;3516
5;03.10.2023;3142
5;04.10.2023;3817
5;05.10.2023;3074
5;07.10.2023;4639
5;10.10.2023;3902
5;12.10.2023;1563
5;14.10.2023;4819
5;16.10.2023;4178
5;19.10.2023;3925
5;22.10.2023;1111
5;25.10.2023;3589
5;13.11.2023;5722
5;22.11.2023;5799
5;25.11.2023;2382
5;28.11.2023;4397
5;30.11.2023;5807
5;08.12.2023;4525
5;09.12.2023;4362
5;14.12.2023;5772
5;29.12.2023;3806
5;10.01.2024;1747
5;11.01.2024;3116
5;26.01.2024;1960
5;07.02.2024;4315
5;30.03.2024;4420
5;06.05.2024;5695
6;23.03.2024;2839
6;04.04.2024;1603
6;11.04.2024;2386
6;24.09.2024;2228
6;25.01.2025;1159
7;06.12.2023;4540
7;07.12.2023;1040
7;09.12.2023;4434
7;10.12.2023;901
7;12.12.2023;5132
7;13.12.2023;936
7;14.12.2023;1250
7;15.12.2023;4841
7;16.12.2023;877
7;21.12.2023;3251
7;06.01.2024;810
7;07.01.2024;2715
7;26.01.2024;803
7;06.02.2024;1354
7;09.02.2024;1355
7;02.03.2024;4211
7;05.03.2024;1076
7;21.03.2024;3416
7;08.04.2024;1215
7;16.04.2024;4138
7;17.04.2024;4073
7;21.04.2024;5013
7;26.04.2024;5971
7;18.05.2024;5850
7;07.08.2024;1294
7;29.10.2024;1572
7;28.11.2024;5571
8;20.05.2024;4229
8;24.05.2024;542
8;29.05.2024;773
8;02.06.2024;1062
8;05.06.2024;3969
8;07.06.2024;3727
8;08.06.2024;1622
8;18.06.2024;3332
8;19.06.2024;5858
8;01.07.2024;1680
8;04.07.2024;2150
8;06.07.2024;3844
8;10.07.2024;5508
8;14.07.2024;1493
8;18.07.2024;5332
8;20.07.2024;2442
8;24.07.2024;2081
8;30.07.2024;2326
8;06.08.2024;5202
8;08.08.2024;2511
8;27.09.2024;501
8;31.10.2024;4720
8;15.11.2024;2055
8;08.12.2024;4029
9;30.03.2023;2138
9;01.04.2023;3197
9;02.04.2023;5681
9;03.04.2023;1827
9;04.04.2023;2197
9;05.04.2023;3503
9;06.04.2023;3791
9;07.04.2023;5313
9;08.04.2023;832
9;11.04.2023;4656
9;13.04.2023;2760
9;17.04.2023;1214
9;18.04.2023;2160
9;20.04.2023;4960
9;26.04.2023;2246
9;28.04.2023;1463
9;18.05.2023;3465
9;23.05.2023;2664
9;24.05.2023;3537
9;28.05.2023;4201
9;01.06.2023;2105
9;05.06.2023;2769
9;06.06.2023;2374
9;14.06.2023;4155
9;15.06.2023;2103
9;01.07.2023;5815
9;10.07.2023;5504
9;15.07.2023;1647
9;17.07.2023;2750
9;22.07.2023;3022
9;03.08.2023;5698
9;09.08.2023;5614
9;24.08.2023;4350
9;02.09.2023;1794
9;08.10.2023;1858
9;25.10.2023;3182
9;24.12.2023;1174
9;04.02.2024;2933
10;30.06.2024;5399
10;03.07.2024;4388
10;04.07.2024;1849
10;07.07.2024;5514
10;24.07.2024;5202
10;25.07.2024;1395
10;22.08.2024;2394
