Product ID;Product Position;Promotion;Product Category;Seasonal;Sales Volume;brand;url;sku;name;description;price;scraped_at;section
122926;End-cap;No;Clothing;No;2;Zara;https://www.zara.com/us/en/knit-v-neck-sweater-p06771003.html;319465261-800-2;KNIT V-NECK SWEATER;V-neck sweater with long sleeves. Rib trim.;45.9;03.01.2024;WOMAN
150953;Front of Store;Yes;Clothing;Yes;4;Zara;https://www.zara.com/us/en/basic-foil-knit-sweater-p00506101.html;317331009-312-2;BASIC FOIL KNIT SWEATER;Round neck long sleeve sweater. Rib trim.;35.9;03.01.2024;WOMAN
115873;End-cap;Yes;Clothing;Yes;1;Zara;https://www.zara.com/us/en/contrast-topstitching-crop-knit-sweater-p09598003.html;311297400-803-1;CONTRAST TOPSTITCHING CROP KNIT SWEATER;V-neck cropped sweater with long sleeves. Front patch pockets. Contrast topstitching.;59.9;04.01.2024;WOMAN
115581;Aisle;No;Clothing;Yes;3;Zara;https://www.zara.com/us/en/striped-crop-knit-sweater-p06771158.html;336449779-104-1;STRIPED CROP KNIT SWEATER;Long sleeve high collar cropped sweater. Frayed hem.;47.9;04.01.2024;WOMAN
123230;Aisle;No;Clothing;Yes;1;Zara;https://www.zara.com/us/en/striped-textured-overshirt-p04179056.html;324027512-064-2;STRIPED TEXTURED OVERSHIRT;Relaxed fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at hip. Front button closure.;69.9;04.01.2024;MAN
154676;Aisle;No;Clothing;No;4;Zara;https://www.zara.com/us/en/fleece-overshirt-p01248320.html;311292623-712-97;FLEECE OVERSHIRT;Regular fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Chest patch pockets. Front button closure.;69.9;05.01.2024;MAN
115873;End-cap;Yes;Clothing;Yes;5;Zara;https://www.zara.com/us/en/contrast-topstitching-crop-knit-sweater-p09598003.html;311297400-803-1;CONTRAST TOPSTITCHING CROP KNIT SWEATER;V-neck cropped sweater with long sleeves. Front patch pockets. Contrast topstitching.;59.9;05.01.2024;WOMAN
115581;Aisle;No;Clothing;Yes;3;Zara;https://www.zara.com/us/en/striped-crop-knit-sweater-p06771158.html;336449779-104-1;STRIPED CROP KNIT SWEATER;Long sleeve high collar cropped sweater. Frayed hem.;47.9;05.01.2024;WOMAN
183634;Front of Store;Yes;Clothing;Yes;5;Zara;https://www.zara.com/us/en/basic-knit-sweater-p01509115.html;324593343-043-2;BASIC KNIT SWEATER;Long sleeve round neck sweater. Side vents at hem. Rib trim.;55.00;05.01.2024;WOMAN
122484;Aisle;Yes;Clothing;Yes;8;Zara;https://www.zara.com/us/en/v-neck-knit-sweater-p03519001.html;319473750-809-1;V-NECK KNIT SWEATER;V-neck sweater with long sleeves. Side vents at hem.;47.9;06.01.2024;WOMAN
183574;Aisle;Yes;Clothing;Yes;9;Zara;https://www.zara.com/us/en/foil-knit-crop-sweater-p06771001.html;331789902-808-1;FOIL KNIT CROP SWEATER;Ribbed sweater with round neck and long sleeves. Ripped hem.;47.9;06.01.2024;WOMAN
185307;Front of Store;No;Clothing;Yes;7;Zara;https://www.zara.com/us/en/basic-100-wool-sweater-p02893106.html;300250126-401-2;BASIC 100% WOOL SWEATER;Sweater made of 100% wool. Round neck and long sleeves. Ribbed trim.;82.00;06.01.2024;WOMAN
118719;End-cap;No;Clothing;Yes;8;Zara;https://www.zara.com/us/en/colorblock-knit-crop-sweater-p05536008.html;320052978-401-2;COLORBLOCK KNIT CROP SWEATER;Short sweater with round neck and long sleeves.;45.9;06.01.2024;WOMAN
134788;Front of Store;No;Clothing;No;9;Zara;https://www.zara.com/us/en/fine-knit-sweater-p09598045.html;324722597-400-2;FINE KNIT SWEATER;V-neck sweater with long sleeves.;45.9;07.01.2024;WOMAN
141861;Aisle;Yes;Clothing;Yes;4;Zara;https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html;313854165-401-46;100% WOOL SUIT JACKET;Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;169.0;07.01.2024;MAN
137121;Aisle;No;Clothing;Yes;6;Zara;https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html;312372602-800-2;100% FEATHER FILL PUFFER JACKET;Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.;169.0;07.01.2024;MAN
113143;Aisle;Yes;Clothing;Yes;5;Zara;https://www.zara.com/us/en/herringbone-textured-jacket-p08491401.html;316207900-710-2;HERRINGBONE TEXTURED JACKET;Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.;129.0;07.01.2024;MAN
195082;Front of Store;No;Clothing;No;7;Zara;https://www.zara.com/us/en/chunky-sole-high-top-sneakers-p12104320.html;311302515-800-39;CHUNKY SOLE HIGH TOP SNEAKERS;High top sneakers. Lacing with nine pairs of eyelets. Contrasting foxing around the upper. Chunky rubberized soles.;69.9;08.01.2024;MAN
110329;Front of Store;No;Clothing;Yes;3;Zara;https://www.zara.com/us/en/contrast-sole-leather-sneakers-p12510320.html;314937773-800-39;CONTRAST SOLE LEATHER SNEAKERS;Sneakers. Made of leather. Upper in a combination of pieces and finishes. Lacing with six pairs of eyelets. Rounded shape. Chunky sole.;69.9;08.01.2024;MAN
